THE, QS
Universiti Kebangsaan Malaysia, Universiti Kebangsaan Malaysia (UKM)
Universiti Putra Malaysia, Universiti Putra Malaysia (UPM)
Universiti Sains Malaysia, Universiti Sains Malaysia (USM)
Universiti Teknologi Malaysia, Universiti Teknologi Malaysia
Universiti Teknologi Petronas, Universiti Teknologi PETRONAS (UTP)
Universiti Teknologi MARA, Universiti Teknologi MARA - UiTM
Universiti Utara Malaysia, Universiti Utara Malaysia (UUM)
University of Malaya, Universiti Malaya
Universiti Tunku Abdul Rahman (UTAR), Universiti Tunku Abdul Rahman (UTAR)
Universiti Tenaga Nasional (UNITEN), Universiti Tenaga Nasional (UNITEN)
Universiti Malaysia Sarawak (UNIMAS), Universiti Malaysia Sarawak (UNIMAS)
Multimedia University, Multimedia University (MMU)





